Total configs generated: 642978
Total configs: 642978
Already evaluated: 168238
New configs to evaluate: 592503
------------------------------------------------------------
[5100/592503 |   0.86%] Best: 144.252760 | Elapsed:  12.3 min | ETA: 1419.5 min | Rate:  6.90 cfg/s
[5125/592503 |   0.86%] Best: 144.252760 | Elapsed:  12.4 min | ETA: 1420.3 min | Rate:  6.89 cfg/s
[5150/592503 |   0.87%] Best: 144.252760 | Elapsed:  12.4 min | ETA: 1418.4 min | Rate:  6.90 cfg/s
[5175/592503 |   0.87%] Best: 144.252760 | Elapsed:  12.5 min | ETA: 1418.4 min | Rate:  6.90 cfg/s
[5200/592503 |   0.88%] Best: 144.252760 | Elapsed:  12.5 min | ETA: 1415.9 min | Rate:  6.91 cfg/s
[5225/592503 |   0.88%] Best: 144.252760 | Elapsed:  12.6 min | ETA: 1417.7 min | Rate:  6.90 cfg/s
[5250/592503 |   0.89%] Best: 144.252760 | Elapsed:  12.6 min | ETA: 1413.4 min | Rate:  6.92 cfg/s
[5275/592503 |   0.89%] Best: 144.252760 | Elapsed:  12.7 min | ETA: 1417.3 min | Rate:  6.91 cfg/s
[5300/592503 |   0.89%] Best: 144.252760 | Elapsed:  12.7 min | ETA: 1412.4 min | Rate:  6.93 cfg/s
[5325/592503 |   0.90%] Best: 144.252760 | Elapsed:  12.8 min | ETA: 1415.0 min | Rate:  6.92 cfg/s
[5350/592503 |   0.90%] Best: 144.252760 | Elapsed:  12.9 min | ETA: 1410.4 min | Rate:  6.94 cfg/s
[5375/592503 |   0.91%] Best: 144.252760 | Elapsed:  12.9 min | ETA: 1413.0 min | Rate:  6.93 cfg/s
